D,DL,i5,08,001TB,1,W07,15
D,DL,i5,08,001TB,1,W07,15
D,HP,i5,16,500GB,2,500GB,W07,16
D,DL,i7,08,500GB,1,W10,17
D,DL,i5,08,001TB,1,W07,16
D,HP,i7,08,001TB,1,W10,18
L,GW,i7,08,001TB,1,W10,17
D,HP,i7,08,001TB,1,W10,17
D,DL,i5,16,500GB,2,001TB,W07,17
D,GW,i5,08,001TB,1,W07,16
L,DL,i7,16,001TB,1,W07,17
D,DL,i5,08,001TB,1,W07,15
D,DL,i5,08,500GB,2,001TB,W07,17
L,HP,i7,16,001TB,1,W10,18
D,DL,i5,08,500GB,2,001TB,W07,17
D,DL,i5,08,001TB,1,W07,15
L,DL,i5,08,001TB,1,W07,16
D,HP,i5,08,500GB,2,001TB,W07,17
D,DL,i7,08,500GB,2,001TB,W07,17
L,DL,i7,16,001TB,1,W10,18
D,HP,i7,08,001TB,1,W10,18
L,GW,i5,16,001TB,1,W10,17
D,HP,i7,08,001TB,1,W10,17
D,DL,i5,08,500GB,2,001TB,W07,17
D,GW,i5,08,001TB,1,W07,16
L,DL,i5,08,001TB,1,W10,16
D,DL,i7,16,001TB,2,001TB,W10,18
D,DL,i5,16,500GB,2,001TB,W07,17
L,DL,i7,08,001TB,2,001TB,W10,18
